Modèle,Kilométrage,Année,Boîte,Carburant,Puissance fiscale,Prix
Jaguar XJL,51 000 km,2014,Automatique,Essence,16 cv,180 000 DT
Haval H6,12 000 km,2023,Automatique,Essence,8 cv,125 000 DT
Porsche Cayenne,184 000 km,2008,Automatique,Essence,21 cv,85 000 DT
Nissan Patrol,417 000 km,1991,Manuelle,Diesel,17 cv,32 000 DT
Peugeot 2008 Allure,60 000 km,2016,Manuelle,Essence,5 cv,45 000 DT
Porsche Cayenne,206 000 km,2010,Automatique,Essence,21 cv,106 000 DT
Land Rover Range Rover Velar,60 000 km,2019,Automatique,Diesel,11 cv,330 000 DT
Mercedes-Benz CLA,36 000 km,2022,Automatique,Essence,7 cv,Sous leasing                    185 400 DT
BMW Série 5,197 000 km,2012,Automatique,Essence,10 cv,79 900 DT
Ford Ecosport,101 000 km,2016,Automatique,Essence,6 cv,62 500 DT
Toyota Land Cruiser 79 LX,174 000 km,2016,Manuelle,Diesel,17 cv,115 000 DT
Renault Megane,93 000 km,2020,Manuelle,Diesel,5 cv,58 000 DT
Hyundai i20,132 000 km,2016,Manuelle,Essence,5 cv,43 000 DT
Peugeot Partner,113 000 km,2018,Manuelle,Diesel,5 cv,39 500 DT
Ford Ka,185 000 km,2010,Manuelle,Essence,4 cv,21 900 DT
Seat Tarraco FR,13 000 km,2024,Automatique,Essence,9 cv,159 000 DT
Ford Ecosport,99 000 km,2021,Automatique,Essence,7 cv,72 000 DT
KIA Optima,176 000 km,2014,Automatique,Essence,10 cv,45 500 DT
Toyota Prado,56 000 km,2014,Manuelle,Essence,11 cv,195 000 DT
Chery Tiggo 3X Luxury,56 000 km,2022,Automatique,Essence,6 cv,55 000 DT
Volkswagen Tiguan,104 000 km,2018,Automatique,Essence,8 cv,117 000 DT
BMW X5,159 000 km,2010,Automatique,Diesel,19 cv,86 000 DT
Citroën DS5,205 000 km,2012,Automatique,Diesel,6 cv,40 000 DT
Citroën Jumpy Fourgon,123 000 km,2022,Manuelle,Diesel,7 cv,72 000 DT
Audi A5 Coupé S-Line,201 000 km,2011,Automatique,Essence,10 cv,48 000 DT
Volkswagen Polo,26 000 km,2021,Manuelle,Essence,4 cv,55 000 DT
Audi A5 Coupé,168 000 km,2009,Automatique,Essence,13 cv,53 000 DT
Suzuki Vitara,96 000 km,2018,Automatique,Essence,6 cv,69 000 DT
Land Rover Range Rover Evoque,130 000 km,2015,Automatique,Diesel,10 cv,139 000 DT
Opel Corsa,41 000 km,2022,Manuelle,Essence,5 cv,59 900 DT
Dacia Sandero Stepway,75 000 km,2015,Manuelle,Essence,5 cv,40 000 DT
Mercedes-Benz Classe E,160 000 km,2009,Automatique,Diesel,12 cv,57 000 DT
Mercedes-Benz Classe C,157 000 km,2016,Automatique,Diesel,6 cv,115 000 DT
BMW X1,78 000 km,2020,Automatique,Essence,8 cv,98 000 DT
Mercedes-Benz Classe E,15 000 km,2022,Automatique,Essence,9 cv,248 000 DT
Volkswagen Golf 7,183 000 km,2019,Manuelle,Diesel,6 cv,73 500 DT
Citroën Jumper,476 000 km,2010,Manuelle,Diesel,7 cv,29 500 DT
Nissan Patrol,481 000 km,1991,Manuelle,Diesel,11 cv,42 000 DT
Toyota C-HR,47 000 km,2021,Automatique,Essence,6 cv,89 000 DT
Opel Mokka,37 000 km,2014,Manuelle,Diesel,7 cv,59 500 DT
BMW X5,295 000 km,2007,Automatique,Diesel,16 cv,65 000 DT
Hyundai Grand i10,34 000 km,2022,Manuelle,Essence,5 cv,49 000 DT
Peugeot Rifter,67 000 km,2019,Manuelle,Essence,6 cv,69 000 DT
KIA Optima,379 000 km,2012,Automatique,Essence,10 cv,38 000 DT
Peugeot 208 3P,104 000 km,2017,Manuelle,Essence,5 cv,32 900 DT
Mercedes-Benz Classe C Avantgarde,185 000 km,2009,Automatique,Essence,9 cv,49 500 DT
Toyota Land Cruiser 80,506 000 km,1996,Manuelle,Diesel,17 cv,72 000 DT
Volkswagen Golf 7,75 000 km,2016,Automatique,Essence,13 cv,110 000 DT
Toyota C-HR,150 000 km,2017,Automatique,Essence,6 cv,69 500 DT
Skoda Fabia,105 000 km,2021,Manuelle,Essence,4 cv,43 000 DT
Volkswagen Passat CC,191 000 km,2014,Automatique,Essence,10 cv,53 000 DT
Mazda 3 High Grade,107 000 km,2017,Manuelle,Essence,6 cv,56 000 DT
Citroën C3 Shine,62 000 km,2019,Automatique,Essence,6 cv,47 500 DT
Mercedes-Benz GLA,97 000 km,2016,Automatique,Essence,8 cv,92 000 DT
Volkswagen Passat CC,150 000 km,2009,Automatique,Essence,12 cv,35 000 DT
Ford Ecosport Titanium,97 000 km,2018,Automatique,Essence,7 cv,62 000 DT
Mercedes-Benz Classe C,113 000 km,2017,Automatique,Essence,8 cv,135 000 DT
BMW Série 3,177 000 km,2018,Automatique,Essence,7 cv,85 000 DT
Ford Focus Titanium,161 000 km,2018,Manuelle,Essence,6 cv,39 900 DT
MG ZS,68 000 km,2020,Automatique,Essence,7 cv,64 000 DT
Haval H6,11 000 km,2023,Automatique,Essence,8 cv,126 000 DT
BMW Série 5,179 000 km,2013,Automatique,Essence,10 cv,79 500 DT
BMW Série 4 Gran Coupé,99 000 km,2019,Automatique,Essence,7 cv,115 000 DT
Mercedes-Benz Classe A,101 000 km,2020,Automatique,Essence,7 cv,129 000 DT
Iveco Daily Fourgon,31 000 km,2015,Manuelle,Diesel,16 cv,110 000 DT
Mercedes-Benz Classe E,223 000 km,2017,Automatique,Essence,9 cv,119 000 DT
Toyota Hilux Double Cabine,114 000 km,2019,Manuelle,Diesel,8 cv,160 000 DT
Mercedes-Benz Classe C,112 000 km,2019,Automatique,Hybride,10 cv,145 000 DT
Volkswagen Amarok,81 000 km,2013,Manuelle,Essence,11 cv,53 000 DT
Peugeot Landtrek Double Cabine,34 000 km,2022,Manuelle,Diesel,6 cv,95 000 DT
KIA Sportage,232 000 km,2011,Automatique,Essence,11 cv,47 000 DT
BMW Série 5,151 000 km,2016,Automatique,Essence,9 cv,120 000 DT
Porsche Cayenne,195 000 km,2012,Automatique,Diesel,15 cv,155 000 DT
KIA Rio Berline,35 000 km,2022,Automatique,Essence,6 cv,69 900 DT
Mitsubishi Pajero Sport,510 000 km,1999,Manuelle,Diesel,9 cv,45 000 DT
Great Wall M4,51 000 km,2019,Manuelle,Essence,6 cv,45 000 DT
Chery E3,95 000 km,2018,Manuelle,Essence,6 cv,32 000 DT
BMW Série 1,105 000 km,2016,Manuelle,Essence,6 cv,58 000 DT
BMW Série 2 Gran Coupé,61 000 km,2020,Automatique,Essence,8 cv,120 000 DT
Nissan Patrol,359 000 km,2006,Manuelle,Diesel,12 cv,66 000 DT
Audi A4,233 000 km,2011,Manuelle,Essence,7 cv,46 000 DT
Mercedes-Benz CLA,239 000 km,2017,Automatique,Essence,7 cv,92 000 DT
Mercedes-Benz Classe E,199 000 km,2010,Automatique,Essence,11 cv,55 000 DT
Citroën C4 Coupé,300 000 km,2009,Manuelle,Essence,7 cv,21 000 DT
BMW X2,75 000 km,2020,Automatique,Essence,8 cv,134 000 DT
Haval H6 Luxury,110 000 km,2019,Automatique,Essence,9 cv,77 000 DT
Land Rover Range Rover Sport,211 000 km,2007,Automatique,Essence,32 cv,88 000 DT
Fiat 500,20 000 km,2020,Manuelle,Hybride,4 cv,59 000 DT
KIA Sorento,209 000 km,2015,Automatique,Diesel,12 cv,89 000 DT
Ford Kuga Titanium,208 000 km,2017,Automatique,Essence,11 cv,65 000 DT
Peugeot 208 3P,74 000 km,2016,Manuelle,Essence,5 cv,38 500 DT
Land Rover Range Rover Sport,47 000 km,2019,Automatique,Hybride,17 cv,340 000 DT
Volkswagen Golf 6,295 000 km,2011,Automatique,Diesel,5 cv,41 000 DT
Mercedes-Benz Classe E Avantgarde,238 000 km,2009,Automatique,Diesel,9 cv,64 500 DT
Citroën Jumpy Combi,124 000 km,2018,Manuelle,Diesel,6 cv,82 000 DT
Suzuki Vitara,270 000 km,1993,Automatique,Essence,9 cv,33 000 DT
Mercedes-Benz Classe A Progressive,137 000 km,2019,Automatique,Essence,7 cv,85 900 DT
Chery Tiggo 8,44 000 km,2022,Automatique,Essence,9 cv,79 000 DT
KIA Sportage,324 000 km,2012,Automatique,Diesel,11 cv,54 000 DT
Volkswagen Golf 6,252 000 km,2012,Automatique,Diesel,5 cv,42 000 DT
Land Rover Discovery Sport,126 000 km,2015,Automatique,Diesel,9 cv,122 000 DT
Mercedes-Benz GLA,65 000 km,2016,Automatique,Essence,8 cv,118 000 DT
Citroën C3,51 000 km,2019,Manuelle,Essence,4 cv,44 000 DT
Hyundai Tucson Hybride,40 000 km,2022,Automatique,Hybride,7 cv,167 000 DT
Mercedes-Benz Classe A,182 000 km,2013,Manuelle,Essence,7 cv,62 000 DT
Ford Ranger,191 000 km,2014,Automatique,Diesel,7 cv,68 000 DT
Haval H6 Luxury,227 000 km,2018,Automatique,Essence,9 cv,46 500 DT
Citroën Jumpy Fourgon,170 000 km,2019,Manuelle,Diesel,7 cv,65 000 DT
Mercedes-Benz CLA,20 000 km,2018,Automatique,Essence,7 cv,115 000 DT
Land Rover Range Rover Velar R-Dynamic,26 000 km,2022,Automatique,Essence,16 cv,380 000 DT
BMW X6,85 000 km,2015,Automatique,Essence,34 cv,335 000 DT
Seat Leon FR,193 000 km,2011,Manuelle,Essence,7 cv,37 500 DT
Mercedes-Benz Classe S,151 000 km,2008,Automatique,Essence,19 cv,95 000 DT
Peugeot 3008,230 000 km,2010,Manuelle,Essence,7 cv,33 000 DT
Audi A4,241 000 km,2008,Automatique,Essence,11 cv,50 000 DT
Peugeot 3008,132 000 km,2018,Automatique,Essence,9 cv,84 900 DT
Jaguar XJL,163 000 km,2014,Automatique,Essence,16 cv,120 000 DT
Chery Tiggo 3X Luxury,15 000 km,2022,Automatique,Essence,6 cv,62 000 DT
Haval H6 Luxury,100 000 km,2017,Automatique,Essence,9 cv,65 000 DT
Mercedes-Benz CLA,59 000 km,2019,Automatique,Essence,7 cv,134 900 DT
BMW Série 3,152 000 km,2016,Automatique,Essence,7 cv,85 000 DT
Seat Leon Style Plus,118 000 km,2017,Manuelle,Essence,6 cv,62 000 DT
Volkswagen Golf 7,191 000 km,2015,Manuelle,Essence,5 cv,49 000 DT
Porsche Cayenne,212 000 km,2009,Automatique,Essence,30 cv,78 000 DT
BMW Série 4 Coupé,151 000 km,2014,Automatique,Essence,10 cv,86 000 DT
Audi A4,175 000 km,2014,Manuelle,Essence,7 cv,50 000 DT
Dongfeng SX3,32 000 km,2021,Manuelle,Essence,8 cv,65 000 DT
Mercedes-Benz Classe E,276 000 km,2003,Automatique,Essence,10 cv,32 000 DT
Volkswagen Jetta,349 000 km,2010,Manuelle,Diesel,6 cv,32 000 DT
Skoda Octavia,30 000 km,2022,Automatique,Essence,8 cv,114 900 DT
Haval H6 Luxury,120 000 km,2020,Automatique,Essence,9 cv,77 000 DT
Peugeot 3008 Allure,169 000 km,2020,Automatique,Essence,7 cv,80 000 DT
BMW X3,219 000 km,2014,Automatique,Essence,11 cv,75 000 DT
Ford Ranger XLT,248 000 km,2014,Manuelle,Diesel,7 cv,55 000 DT
Haval Jolion,25 000 km,2021,Automatique,Essence,9 cv,91 500 DT
KIA Sportage,101 000 km,2018,Automatique,Essence,8 cv,85 000 DT
Land Rover Range Rover Sport,82 000 km,2019,Automatique,Essence,17 cv,350 000 DT
KIA Sorento,210 000 km,2012,Automatique,Diesel,12 cv,60 000 DT
Infiniti FX,190 000 km,2008,Automatique,Essence,20 cv,52 000 DT
Ford Transit,256 000 km,2017,Manuelle,Diesel,6 cv,38 000 DT
BMW Série 3,201 000 km,2014,Automatique,Essence,7 cv,69 000 DT
BMW Série 3,167 000 km,2016,Automatique,Essence,7 cv,80 000 DT
KIA Sportage GT-Line,132 000 km,2018,Automatique,Diesel,10 cv,110 000 DT
Nissan Qashqai,121 000 km,2015,Automatique,Essence,6 cv,69 500 DT
MG ZS Luxury,67 000 km,2022,Automatique,Essence,7 cv,77 900 DT
Hyundai Veloster,140 000 km,2016,Automatique,Essence,8 cv,44 900 DT
Mazda 6,125 000 km,2014,Automatique,Essence,9 cv,51 000 DT
Mercedes-Benz CLS,178 000 km,2009,Automatique,Essence,15 cv,55 500 DT
Haval H6 Luxury,55 000 km,2019,Automatique,Essence,9 cv,85 000 DT
Ford F 250 V8,90 000 km,2005,Automatique,Diesel,24 cv,75 500 DT
Mercedes-Benz Classe C C180,143 000 km,2018,Automatique,Essence,9 cv,119 000 DT
Mazda 3 High Grade,148 000 km,2017,Manuelle,Essence,6 cv,57 000 DT
Mahindra Scorpio SUV,328 000 km,2013,Manuelle,Diesel,8 cv,31 000 DT
Mazda 3,135 000 km,2017,Manuelle,Essence,6 cv,58 500 DT
BMW Série 5 Luxury Line,30 000 km,2019,Automatique,Essence,10 cv,225 000 DT
MG GS Luxe,160 000 km,2017,Automatique,Essence,9 cv,58 000 DT
Peugeot 208 Access,61 000 km,2021,Manuelle,Essence,4 cv,43 200 DT
Hyundai Tucson High Grade,18 000 km,2021,Automatique,Essence,10 cv,Non dédouané                    115 000 DT
Volkswagen Golf 8 Drive,68 000 km,2021,Manuelle,Diesel,7 cv,110 000 DT
Volkswagen Passat GTE,63 000 km,2020,Automatique,Hybride,8 cv,118 000 DT
Haval Jolion,60 000 km,2021,Automatique,Essence,9 cv,85 000 DT
Peugeot 208,93 000 km,2019,Manuelle,Essence,5 cv,34 000 DT
Porsche Cayenne,220 000 km,2003,Automatique,Essence,27 cv,45 000 DT
Ford Focus Trend Sport,180 000 km,2014,Manuelle,Essence,7 cv,36 000 DT
Land Rover Range Rover Evoque Prestige,23 829 km,2012,Manuelle,Diesel,11 cv,110 000 DT
Mercedes-Benz CLA,39 000 km,2023,Automatique,Hybride,8 cv,199 000 DT
Hyundai Bayon Top Grade,80 000 km,2022,Manuelle,Hybride,5 cv,72 000 DT
Ford Focus ST LINE,60 000 km,2020,Automatique,Essence,6 cv,75 000 DT
BMW Série 4 Gran Coupé,122 000 km,2019,Automatique,Essence,7 cv,123 000 DT
Hyundai Grand i10 High Grade,134 000 km,2017,Manuelle,Essence,5 cv,37 000 DT
Citroën C3 Zenith,135 000 km,2018,Manuelle,Essence,4 cv,36 000 DT
KIA Sportage,141 000 km,2018,Automatique,Essence,7 cv,79 500 DT
Renault Kadjar Intens,107 000 km,2018,Automatique,Essence,7 cv,80 000 DT
Citroën C3,88 000 km,2020,Manuelle,Essence,4 cv,33 000 DT
Peugeot 3008 GT LINE,55 000 km,2022,Automatique,Essence,9 cv,105 000 DT
Seat Leon,72 000 km,2014,Manuelle,Essence,5 cv,48 000 DT
Mazda CX-9,171 500 km,2010,Automatique,Essence,20 cv,35 000 DT
KIA XCeed,40 000 km,2023,Automatique,Essence,9 cv,Sous leasing                    146 600 DT
Mercedes-Benz Classe E,150 000 km,2009,Automatique,Essence,15 cv,60 000 DT
Iveco Daily Double Cabine,120 000 km,2022,Manuelle,Diesel,10 cv,110 000 DT
Peugeot 3008 GT Line,112 000 km,2019,Automatique,Essence,9 cv,76 000 DT
KIA Picanto,74 000 km,2012,Automatique,Essence,5 cv,32 000 DT
Porsche Cayenne,85 000 km,2006,Automatique,Essence,19 cv,52 000 DT
Peugeot 2008 Active Plus,110 000 km,2017,Manuelle,Essence,5 cv,38 000 DT
Mercedes-Benz Classe C Amg,180 000 km,2016,Automatique,Diesel,7 cv,98 000 DT
Audi Q3 Sportback S-Line,68 000 km,2021,Automatique,Essence,8 cv,185 000 DT
Land Rover Range Rover Sport HSE Dynamic,89 000 km,2020,Automatique,Hybride,19 cv,370 000 DT
Mercedes-Benz GLC Coupé AMG,68 000 km,2020,Automatique,Hybride,12 cv,255 000 DT
Opel Corsa Edition,191 000 km,2015,Manuelle,Essence,5 cv,26 800 DT
Peugeot 3008,104 000 km,2018,Automatique,Diesel,6 cv,98 000 DT
Mercedes-Benz Classe C,41 000 km,2023,Automatique,Essence,9 cv,198 000 DT
Hyundai Grand i10,159 000 km,2017,Manuelle,Essence,5 cv,33 800 DT
KIA Cerato KOUP,205 000 km,2010,Manuelle,Essence,7 cv,32 500 DT
Mercedes-Benz Classe C,226 000 km,2013,Automatique,Essence,9 cv,59 500 DT
Mini 3 portes,172 000 km,2011,Manuelle,Essence,4 cv,31 500 DT
Volkswagen Golf 7,45 000 km,2017,Automatique,Essence,6 cv,88 000 DT
Toyota C-HR,140 000 km,2018,Automatique,Essence,6 cv,63 000 DT
Land Rover Range Rover Evoque,137 000 km,2012,Automatique,Essence,15 cv,84 000 DT
Mercedes-Benz Classe E,197 000 km,2010,Automatique,Essence,11 cv,64 500 DT
KIA Picanto,28 000 km,2021,Automatique,Essence,4 cv,46 500 DT
Mercedes-Benz Classe A,100 000 km,2020,Automatique,Essence,7 cv,108 000 DT
Audi Q5,369 000 km,2008,Automatique,Diesel,15 cv,70 000 DT
Peugeot 5008,7 000 km,2023,Automatique,Essence,9 cv,128 000 DT
BMW X2,76 000 km,2020,Automatique,Essence,8 cv,122 000 DT
Volkswagen Golf 8 Style,100 000 km,2021,Manuelle,Essence,6 cv,88 500 DT
Porsche Cayenne,207 000 km,2008,Automatique,Essence,21 cv,68 000 DT
Peugeot Partner,218 000 km,2014,Manuelle,Diesel,5 cv,27 000 DT
Seat Leon,207 000 km,2013,Manuelle,Essence,6 cv,40 500 DT
Toyota C-HR,155 000 km,2017,Automatique,Essence,6 cv,69 000 DT
KIA Rio 5p,68 000 km,2021,Manuelle,Essence,5 cv,62 500 DT
Ford Ranger,229 000 km,2019,Automatique,Diesel,7 cv,134 000 DT
Volkswagen Golf 8,75 000 km,2020,Manuelle,Essence,7 cv,114 000 DT
Hyundai Creta,76 000 km,2019,Manuelle,Essence,7 cv,74 000 DT
Audi A5 Sportback Ambition Luxe,132 000 km,2015,Automatique,Essence,10 cv,89 000 DT
Audi A4,199 000 km,2014,Automatique,Essence,7 cv,53 000 DT
BAIC YX Kenbo S3,108 000 km,2017,Manuelle,Essence,7 cv,34 000 DT
MG GS,149 000 km,2018,Automatique,Essence,9 cv,51 000 DT
Volkswagen Golf 7,79 000 km,2019,Manuelle,Essence,6 cv,71 000 DT
Audi A6,124 000 km,2016,Automatique,Essence,10 cv,102 000 DT
Ford Ecosport,151 000 km,2019,Automatique,Essence,7 cv,55 000 DT
Ford Focus Rs,114 000 km,2018,Manuelle,Essence,6 cv,54 000 DT
Mitsubishi Pajero,384 000 km,2001,Automatique,Diesel,10 cv,59 000 DT
Land Rover Range Rover Evoque,43 000 km,2021,Automatique,Hybride,13 cv,205 000 DT
Nissan Patrol,166 000 km,1993,Manuelle,Diesel,11 cv,54 000 DT
Porsche Cayenne,249 000 km,2010,Automatique,Diesel,15 cv,152 000 DT
Ssangyong Tivoli,40 000 km,2017,Manuelle,Essence,7 cv,60 000 DT
KIA Sportage GT-Line,124 000 km,2019,Automatique,Diesel,8 cv,97 000 DT
Mercedes-Benz Classe E,15 000 km,2022,Automatique,Essence,9 cv,248 000 DT
Renault Kadjar Intens,141 000 km,2018,Automatique,Essence,7 cv,69 500 DT
Volkswagen Polo,128 000 km,2020,Manuelle,Essence,4 cv,42 800 DT
Mazda BT-50,162 000 km,2015,Manuelle,Diesel,9 cv,65 500 DT
Nissan Qashqai,148 000 km,2016,Manuelle,Essence,6 cv,60 500 DT
Ford Ranger,223 000 km,2019,Automatique,Diesel,8 cv,155 000 DT
Peugeot 508 GT Line,115 000 km,2020,Automatique,Essence,9 cv,116 000 DT
Hyundai Veloster,87 000 km,2019,Automatique,Essence,11 cv,112 000 DT
Mercedes-Benz Classe C,137 000 km,2017,Automatique,Essence,8 cv,115 000 DT
Fiat Doblo,38 000 km,2021,Manuelle,Diesel,5 cv,44 500 DT
Volkswagen Golf 7,135 000 km,2017,Automatique,Essence,6 cv,69 000 DT
Mercedes-Benz Classe C AMG,29 000 km,2022,Automatique,Essence,9 cv,228 000 DT
Mercedes-Benz GLA AMG,65 000 km,2016,Automatique,Essence,8 cv,118 000 DT
Volkswagen Amarok Highline Double Cabine,215 000 km,2017,Automatique,Diesel,7 cv,94 000 DT
Land Rover Range Rover Evoque,138 000 km,2016,Automatique,Essence,15 cv,97 000 DT
BMW Série 5 Confort Luxury,119 000 km,2016,Automatique,Essence,9 cv,109 000 DT
Hyundai Tucson Hybride,51 000 km,2021,Automatique,Hybride,7 cv,145 000 DT
Toyota Corolla Active,56 500 km,2021,Manuelle,Essence,6 cv,71 500 DT
Peugeot 508,111 000 km,2019,Automatique,Diesel,7 cv,85 000 DT
Seat Arona Référence,18 000 km,2021,Manuelle,Essence,6 cv,75 000 DT
KIA Rio 5p GT-Line,16 000 km,2022,Manuelle,Essence,5 cv,72 500 DT
Hyundai i20,123 500 km,2017,Manuelle,Essence,5 cv,41 000 DT
Volkswagen Golf 7,125 000 km,2018,Manuelle,Essence,6 cv,75 000 DT
Mercedes-Benz CLA AMG,20 000 km,2020,Automatique,Essence,9 cv,170 000 DT
Peugeot 208,140 000 km,2019,Manuelle,Essence,5 cv,29 500 DT
Peugeot 2008,132 000 km,2014,Manuelle,Essence,5 cv,35 000 DT
Honda City,120 000 km,2020,Automatique,Essence,7 cv,50 000 DT
Mercedes-Benz Classe C,92 500 km,2020,Automatique,Diesel,8 cv,167 000 DT
Volkswagen Golf 6,87 411 km,2012,Manuelle,Diesel,5 cv,43 000 DT
Mercedes-Benz Classe C AMG,200 000 km,2015,Manuelle,Diesel,7 cv,95 000 DT
Skoda Scala Style,107 000 km,2020,Automatique,Essence,6 cv,68 000 DT
Porsche Cayenne,180 000 km,2017,Automatique,Diesel,15 cv,280 000 DT
Audi Q5 S-line,278 000 km,2015,Automatique,Diesel,10 cv,115 000 DT
KIA Sportage BVM,379 000 km,2015,Manuelle,Diesel,7 cv,55 000 DT
KIA Rio 5p,130 000 km,2021,Manuelle,Essence,5 cv,49 000 DT
Seat Leon,150 000 km,2017,Manuelle,Essence,6 cv,45 000 DT
KIA Rio Berline EX,126 000 km,2018,Manuelle,Essence,5 cv,37 500 DT
BMW Série 4 Gran Coupé,107 000 km,2020,Automatique,Essence,7 cv,118 000 DT
Volkswagen T-roc R-Line,22 000 km,2023,Manuelle,Essence,6 cv,115 000 DT
Land Rover Range Rover Evoque R-Dynamic,225 000 km,2014,Automatique,Essence,15 cv,95 000 DT
Mercedes-Benz Classe A restylé,134 000 km,2017,Manuelle,Essence,6 cv,75 000 DT
MG ZS,80 000 km,2019,Manuelle,Essence,7 cv,64 000 DT
BMW X6,190 000 km,2011,Automatique,Diesel,22 cv,140 000 DT
Porsche Cayenne Kit GTS,200 000 km,2011,Automatique,Essence,21 cv,128 000 DT
Peugeot 3008 GT GT-line,190 000 km,2017,Automatique,Diesel,6 cv,80 000 DT
Porsche Macan,190 000 km,2016,Automatique,Diesel,16 cv,195 000 DT
BMW Série 5 Confort Luxury,140 000 km,2021,Automatique,Essence,10 cv,175 000 DT
Haval H9 VIN,50 000 km,2018,Automatique,Essence,15 cv,115 000 DT
Isuzu D-Max Double Cabine LS,18 000 km,2024,Manuelle,Diesel,8 cv,175 000 DT
Mercedes-Benz Classe C BVM,345 000 km,2000,Manuelle,Essence,11 cv,26 000 DT
Mercedes-Benz CLA AMG,30 000 km,2022,Automatique,Essence,7 cv,170 000 DT
BMW Série 3 Luxury BVA,152 000 km,2017,Automatique,Essence,7 cv,77 000 DT
BMW Série 4 Coupé 420i,2 500 km,2021,Automatique,Essence,10 cv,250 000 DT
Audi Q5 S-line,278 000 km,2015,Automatique,Diesel,10 cv,115 000 DT
Peugeot Partner K9,95 000 km,2021,Manuelle,Diesel,5 cv,48 000 DT
Chery Tiggo 3X Luxury,33 000 km,2021,Automatique,Essence,6 cv,50 000 DT
Volkswagen Passat,345 000 km,2011,Manuelle,Essence,7 cv,37 000 DT
Skoda Fabia Design,73 000 km,2020,Manuelle,Essence,4 cv,46 500 DT
KIA Rio 5p GT-Line,107 000 km,2021,Manuelle,Essence,5 cv,62 500 DT
BMW Série 3,155 000 km,2017,Automatique,Essence,7 cv,77 000 DT
BMW Série 3 Confort Luxury Line,220 000 km,2006,Automatique,Essence,9 cv,34 500 DT
Audi A3 Sportback S-Line,151 000 km,2019,Automatique,Essence,6 cv,79 000 DT
Iveco Daily Simple Cabine,70 000 km,2022,Manuelle,Diesel,10 cv,110 000 DT
Toyota C-HR 2024  hybride,16 000 km,2024,Automatique,Hybride,5 cv,148 000 DT
Haval H6 Luxury,65 000 km,2022,Automatique,Essence,8 cv,106 000 DT
Toyota Land Cruiser GR,300 000 km,1996,Manuelle,Diesel,17 cv,65 000 DT
Opel Calibra Turbo 4x4,76 000 km,1994,Manuelle,Essence,8 cv,59 000 DT
MG 3,70 000 km,2020,Manuelle,Essence,6 cv,48 000 DT
Haval Jolion,28 300 km,2023,Automatique,Essence,9 cv,93 000 DT
Skoda Kamiq,115 000 km,2022,Automatique,Essence,6 cv,80 000 DT
KIA Picanto,83 000 km,2013,Automatique,Essence,5 cv,33 000 DT
Ford Kuga,115 000 km,2018,Manuelle,Essence,8 cv,64 000 DT
BMW Série 5,102 000 km,2016,Automatique,Essence,9 cv,105 000 DT
Seat Arona,64 000 km,2021,Manuelle,Essence,6 cv,60 000 DT
Volkswagen Caddy,121 000 km,2017,Manuelle,Diesel,5 cv,47 500 DT
Ford Ecosport Titanium,67 000 km,2022,Manuelle,Essence,7 cv,68 000 DT
Toyota C-HR Sport,162 000 km,2020,Automatique,Essence,6 cv,73 000 DT
KIA Rio 5p Prestige,134 000 km,2018,Manuelle,Essence,5 cv,50 000 DT
Skoda Octavia Ambition,150 000 km,2016,Automatique,Essence,8 cv,48 000 DT
KIA Sportage SX,37 000 km,2022,Automatique,Essence,10 cv,139 000 DT
Mercedes-Benz Classe C,125 000 km,2019,Automatique,Essence,8 cv,99 000 DT
Volkswagen Golf 7 GTI,75 000 km,2016,Automatique,Essence,13 cv,99 000 DT
Audi A3 Sportback,14 000 km,2023,Automatique,Essence,6 cv,128 000 DT
Toyota Corolla,47 000 km,2021,Automatique,Essence,4 cv,73 000 DT
KIA Rio 5p SX Plus,103 000 km,2018,Manuelle,Essence,5 cv,49 900 DT
Jeep Renegade Limited,80 000 km,2021,Automatique,Essence,8 cv,87 000 DT
Audi A4 S-line,45 000 km,2018,Automatique,Essence,8 cv,110 000 DT
Renault Megane Dynamique,220 000 km,2005,Manuelle,Essence,6 cv,24 500 DT
Porsche Panamera,103 000 km,2011,Automatique,Essence,30 cv,175 000 DT
Peugeot 2008,42 000 km,2018,Manuelle,Essence,5 cv,54 000 DT
KIA Sportage,226 000 km,2015,Manuelle,Diesel,7 cv,59 000 DT
Nissan Micra,130 000 km,2017,Manuelle,Essence,5 cv,29 500 DT
Toyota Prado Adventure,330 000 km,1999,Manuelle,Diesel,10 cv,65 000 DT
Peugeot 207 Access Plus,290 000 km,2011,Manuelle,Diesel,6 cv,27 500 DT
Mitsubishi L200 Sportero Double Cabine,38 000 km,2022,Automatique,Diesel,8 cv,149 000 DT
Volkswagen Tiguan,75 000 km,2019,Automatique,Diesel,8 cv,150 000 DT
Volkswagen Golf 8,44 000 km,2021,Manuelle,Essence,5 cv,86 000 DT
KIA Sportage,85 000 km,2021,Automatique,Essence,11 cv,112 000 DT
Toyota Tundra 5.7 Limitée et Kit Spécial,106 000 km,2014,Automatique,Essence,22 cv,260 000 DT
Maserati Quattroporte M139 F1 V8 Formula One ( F1 ),96 000 km,2005,Automatique,Essence,34 cv,115 000 DT
Mercedes-Benz CL AMG,115 000 km,2008,Automatique,Essence,30 cv,95 000 DT
Land Rover Range Rover Velar R-Dynamic,107 000 km,2019,Automatique,Essence,16 cv,220 000 DT
Audi A5 Sportback,198 000 km,2018,Automatique,Essence,8 cv,92 000 DT
